datetime,SOL/USD,BTC/USD
2025-02-22 02:30:00,172.22,96454.75
2025-02-22 02:45:00,171.71,96288.05
2025-02-22 03:00:00,171.57,96164.85
2025-02-22 03:15:00,171.82,96254.68
2025-02-22 03:30:00,172.01,96202.76
2025-02-22 03:45:00,171.34,96196.89
2025-02-22 04:00:00,172.13,96350.96
2025-02-22 04:15:00,172.31,96342.15
2025-02-22 04:30:00,172.62,96376.55
2025-02-22 04:45:00,173.28,96484.92
2025-02-22 05:00:00,173.54,96478.15
2025-02-22 05:15:00,173.83,96528.16
2025-02-22 05:30:00,173.76,96534.79
2025-02-22 05:45:00,173.17,96481.35
2025-02-22 06:00:00,173.12,96518.6
